s1,s2
ROIs1868_summer_s1_59_p280.png,ROIs1868_summer_s2_59_p280.png
ROIs1868_summer_s1_59_p1189.png,ROIs1868_summer_s2_59_p1189.png
ROIs1970_fall_s1_113_p657.png,ROIs1970_fall_s2_113_p657.png
ROIs1970_fall_s1_29_p473.png,ROIs1970_fall_s2_29_p473.png
ROIs1868_summer_s1_59_p1194.png,ROIs1868_summer_s2_59_p1194.png
ROIs1868_summer_s1_59_p912.png,ROIs1868_summer_s2_59_p912.png
ROIs1970_fall_s1_19_p140.png,ROIs1970_fall_s2_19_p140.png
ROIs1970_fall_s1_19_p955.png,ROIs1970_fall_s2_19_p955.png
ROIs1868_summer_s1_59_p188.png,ROIs1868_summer_s2_59_p188.png
ROIs1970_fall_s1_29_p504.png,ROIs1970_fall_s2_29_p504.png
ROIs1868_summer_s1_59_p97.png,ROIs1868_summer_s2_59_p97.png
ROIs1970_fall_s1_19_p347.png,ROIs1970_fall_s2_19_p347.png
ROIs1970_fall_s1_19_p199.png,ROIs1970_fall_s2_19_p199.png
ROIs1970_fall_s1_113_p282.png,ROIs1970_fall_s2_113_p282.png
ROIs1970_fall_s1_19_p684.png,ROIs1970_fall_s2_19_p684.png
ROIs1868_summer_s1_59_p1028.png,ROIs1868_summer_s2_59_p1028.png
ROIs1970_fall_s1_29_p365.png,ROIs1970_fall_s2_29_p365.png
ROIs1970_fall_s1_133_p548.png,ROIs1970_fall_s2_133_p548.png
ROIs1868_summer_s1_59_p35.png,ROIs1868_summer_s2_59_p35.png
ROIs1970_fall_s1_113_p53.png,ROIs1970_fall_s2_113_p53.png
ROIs1970_fall_s1_113_p425.png,ROIs1970_fall_s2_113_p425.png
ROIs1970_fall_s1_133_p457.png,ROIs1970_fall_s2_133_p457.png
ROIs1970_fall_s1_133_p70.png,ROIs1970_fall_s2_133_p70.png
ROIs1970_fall_s1_29_p609.png,ROIs1970_fall_s2_29_p609.png
ROIs1970_fall_s1_113_p227.png,ROIs1970_fall_s2_113_p227.png
ROIs1970_fall_s1_113_p316.png,ROIs1970_fall_s2_113_p316.png
ROIs1970_fall_s1_133_p275.png,ROIs1970_fall_s2_133_p275.png
ROIs1970_fall_s1_29_p379.png,ROIs1970_fall_s2_29_p379.png
ROIs1970_fall_s1_29_p385.png,ROIs1970_fall_s2_29_p385.png
ROIs1970_fall_s1_29_p541.png,ROIs1970_fall_s2_29_p541.png
ROIs1970_fall_s1_19_p361.png,ROIs1970_fall_s2_19_p361.png
ROIs1970_fall_s1_19_p303.png,ROIs1970_fall_s2_19_p303.png
ROIs1970_fall_s1_19_p624.png,ROIs1970_fall_s2_19_p624.png
ROIs1868_summer_s1_59_p317.png,ROIs1868_summer_s2_59_p317.png
ROIs1868_summer_s1_59_p1121.png,ROIs1868_summer_s2_59_p1121.png
ROIs1868_summer_s1_59_p646.png,ROIs1868_summer_s2_59_p646.png
ROIs1970_fall_s1_29_p483.png,ROIs1970_fall_s2_29_p483.png
ROIs1970_fall_s1_113_p213.png,ROIs1970_fall_s2_113_p213.png
ROIs1970_fall_s1_29_p545.png,ROIs1970_fall_s2_29_p545.png
ROIs1868_summer_s1_59_p457.png,ROIs1868_summer_s2_59_p457.png
ROIs1970_fall_s1_29_p781.png,ROIs1970_fall_s2_29_p781.png
ROIs1868_summer_s1_59_p666.png,ROIs1868_summer_s2_59_p666.png
ROIs1868_summer_s1_59_p832.png,ROIs1868_summer_s2_59_p832.png
ROIs1970_fall_s1_113_p262.png,ROIs1970_fall_s2_113_p262.png
ROIs1868_summer_s1_59_p1188.png,ROIs1868_summer_s2_59_p1188.png
ROIs1868_summer_s1_59_p553.png,ROIs1868_summer_s2_59_p553.png
ROIs1970_fall_s1_19_p831.png,ROIs1970_fall_s2_19_p831.png
ROIs1970_fall_s1_19_p556.png,ROIs1970_fall_s2_19_p556.png
ROIs1970_fall_s1_29_p779.png,ROIs1970_fall_s2_29_p779.png
ROIs1970_fall_s1_19_p353.png,ROIs1970_fall_s2_19_p353.png
ROIs1970_fall_s1_29_p450.png,ROIs1970_fall_s2_29_p450.png
ROIs1868_summer_s1_59_p1325.png,ROIs1868_summer_s2_59_p1325.png
ROIs1868_summer_s1_59_p252.png,ROIs1868_summer_s2_59_p252.png
ROIs1970_fall_s1_113_p3.png,ROIs1970_fall_s2_113_p3.png
ROIs1868_summer_s1_59_p1186.png,ROIs1868_summer_s2_59_p1186.png
ROIs1970_fall_s1_133_p97.png,ROIs1970_fall_s2_133_p97.png
ROIs1868_summer_s1_59_p1162.png,ROIs1868_summer_s2_59_p1162.png
ROIs1970_fall_s1_19_p458.png,ROIs1970_fall_s2_19_p458.png
ROIs1970_fall_s1_19_p653.png,ROIs1970_fall_s2_19_p653.png
ROIs1970_fall_s1_19_p563.png,ROIs1970_fall_s2_19_p563.png
ROIs1970_fall_s1_113_p279.png,ROIs1970_fall_s2_113_p279.png
ROIs1868_summer_s1_59_p1118.png,ROIs1868_summer_s2_59_p1118.png
ROIs1970_fall_s1_29_p325.png,ROIs1970_fall_s2_29_p325.png
ROIs1970_fall_s1_115_p2.png,ROIs1970_fall_s2_115_p2.png
ROIs1868_summer_s1_59_p1060.png,ROIs1868_summer_s2_59_p1060.png
ROIs1970_fall_s1_133_p308.png,ROIs1970_fall_s2_133_p308.png
ROIs1868_summer_s1_59_p911.png,ROIs1868_summer_s2_59_p911.png
ROIs1970_fall_s1_113_p52.png,ROIs1970_fall_s2_113_p52.png
ROIs1970_fall_s1_29_p50.png,ROIs1970_fall_s2_29_p50.png
ROIs1970_fall_s1_113_p222.png,ROIs1970_fall_s2_113_p222.png
ROIs1868_summer_s1_59_p90.png,ROIs1868_summer_s2_59_p90.png
